0.6122569239835003,0.3677007299270073,0.6529155097183658,0.6325546903967371,0.5837004405286343,0.5984222389181066,0.7231173955935547,0.8243014394580863,0.28399765533411486,0.4565837749694252
0.7501805054151625,0.4234676007005254,0.5910233393177737,0.5965034965034965,0.4665492957746479,0.5709677419354838,0.7881720430107527,0.6879858657243816,0.3498194945848375,0.398576512455516
2078,93,5,54,44,164,60,6,163,103
43,1209,155,100,278,31,98,41,687,213
127,105,1646,217,22,40,88,17,499,24
57,72,356,1706,13,229,19,78,117,213
420,244,9,19,1325,74,229,73,283,164
155,167,22,126,27,1593,191,52,139,318
86,40,35,9,64,165,2199,0,159,33
38,115,56,184,98,89,16,1947,153,134
123,870,141,57,171,139,103,66,969,131
267,373,96,225,228,138,38,82,243,1120

