0.7147102526002972,0.39057591623036647,0.6040372670807453,0.37890625,0.4832904884318766,0.3143176733780761,0.47855750487329435,0.5714285714285714,0.2540792540792541,0.4088669950738916
0.5975155279503106,0.4604938271604938,0.48930817610062893,0.610062893081761,0.23354037267080746,0.3534591194968553,0.6099378881987577,0.4607594936708861,0.2812903225806452,0.31518987341772153
481,32,5,6,5,100,104,10,16,46
0,373,75,80,38,20,28,37,99,60
17,66,389,72,7,75,42,31,92,4
2,49,6,485,11,93,14,21,80,34
18,119,3,87,188,32,202,40,74,42
39,12,38,195,7,281,50,26,57,90
49,18,25,49,60,59,491,5,49,0
11,52,18,110,34,54,31,364,73,43
26,97,76,105,23,75,60,54,218,41
30,137,9,91,16,105,4,49,100,249

