0.9887514060742407,0.6068222621184919,0.6542098153984691,0.7427407030056037,0.9360176503033646,0.7871321013004792,0.9862275449101796,0.7921462423832092,0.9909255898366606,0.7554683118339877
0.968595041322314,0.5571428571428572,0.7983516483516484,0.8678571428571429,0.9324175824175824,0.6865671641791045,0.9803571428571428,0.6428571428571429,0.975,0.8017857142857143
1758,12,13,0,12,11,6,2,0,1
0,1014,389,96,3,121,2,101,7,87
0,242,1453,20,4,0,0,91,1,9
0,69,21,1458,0,55,0,45,0,32
1,6,13,11,1697,26,10,11,0,45
0,51,32,151,21,1150,5,37,1,227
5,0,4,7,9,4,1647,2,2,0
2,225,252,108,17,8,0,1170,3,35
11,8,4,1,4,8,0,6,1638,0
1,44,40,111,46,78,0,12,1,1347

