0.6338647608576141,0.38628681796233705,0.5476909797151489,0.5628361858190709,0.700977869274318,0.654368932038835,0.7116279069767442,0.48404255319148937,0.6128093158660844,0.4988381099922541
0.6352617079889807,0.43956043956043955,0.6972527472527472,0.6851190476190476,0.7483516483516484,0.40238805970149255,0.7285714285714285,0.5,0.5011904761904762,0.38333333333333336
1153,62,7,49,119,39,103,3,226,54
34,800,296,44,35,23,82,295,45,166
2,174,1269,20,35,29,11,232,23,25
38,110,121,1151,3,27,18,164,6,42
56,65,78,15,1362,34,67,38,3,102
118,151,45,185,88,674,96,120,97,101
108,69,20,46,114,5,1224,2,25,67
25,245,284,139,42,2,33,910,81,59
246,130,101,108,2,98,55,67,842,31
39,265,96,288,143,99,31,49,26,644

