0.9988968560397132,0.8572820263029712,0.9719402985074627,0.9955808080808081,0.9943630214205186,0.9290981281905842,1,0.9883073496659243,0.9946172248803827,0.9676089517078916
0.9977961432506887,0.967032967032967,0.8945054945054945,0.9386904761904762,0.9692307692307692,0.9779104477611941,0.9892857142857143,0.9752747252747253,0.9898809523809524,0.9779761904761904
1811,0,0,0,0,0,0,0,4,0
0,1760,47,2,5,0,0,6,0,0
0,187,1628,0,0,0,0,5,0,0
0,52,0,1577,0,28,0,0,0,23
0,0,0,0,1764,56,0,0,0,0
0,0,0,5,0,1638,0,0,0,32
0,0,0,0,5,8,1662,5,0,0
0,35,0,0,0,5,0,1775,5,0
2,5,0,0,0,10,0,0,1663,0
0,14,0,0,0,18,0,5,0,1643

