0.3358609210282967,0.18952007835455437,0.21080669710806696,0.15458225984541774,0.10566161948650428,0.19965902633074445,0.09246344206974129,0.11146051712089448,0.3437652811735941,0.34155141310883946,0.13388704318936878,0.3111447302067574,0.4022695035460993,0.19418483904465214,0.11725516322451698,0.21222455403987409,0.19052716082419052,0.26904761904761904,0.11286319170681851,0.2107863318237958,0.17229285401139852,0.33689320388349514,0.3869565217391304,0.11313807531380753,0.20634920634920634,0.27063465965143046
0.4603295310519645,0.202088772845953,0.22581521739130433,0.10434782608695652,0.08359375,0.272,0.3190168175937904,0.08692098092643052,0.1862251655629139,0.15207496653279787,0.10906630581867388,0.1621550591327201,0.35808080808080806,0.2388250319284802,0.1402390438247012,0.20149439601494396,0.1818646232439336,0.08944591029023746,0.20668449197860964,0.12864321608040202,0.19335793357933578,0.18167539267015706,0.16569148936170214,0.17179161372299873,0.12900763358778625,0.2242506811989101
1816,34,43,24,157,8,662,146,11,131,31,39,43,44,89,52,285,23,60,5,37,21,22,132,20,10
95,774,57,253,99,83,486,91,30,17,31,75,52,30,181,141,121,100,660,65,22,0,17,149,4,197
24,70,831,92,164,154,957,66,3,30,248,69,17,20,44,62,68,6,84,133,237,17,21,164,3,96
93,423,46,420,121,117,177,170,120,25,15,34,123,297,432,331,108,69,302,44,278,0,1,106,13,160
47,261,429,176,321,80,730,79,64,11,117,125,22,10,49,83,47,35,321,146,121,6,5,345,19,191
78,114,61,25,160,1054,240,55,86,28,38,24,12,129,43,400,37,26,252,224,242,0,7,192,300,48
100,246,341,121,77,98,1233,116,12,38,217,79,30,28,103,96,149,39,271,37,87,28,29,170,2,118
106,156,101,94,49,81,502,319,25,19,183,94,203,406,369,118,153,49,258,35,136,14,10,125,23,42
264,50,269,17,273,193,307,18,703,192,45,35,1,41,94,97,81,13,223,228,53,35,1,410,37,95
929,38,45,4,317,147,347,36,263,568,91,4,8,83,106,76,128,25,173,78,90,12,1,110,2,54
88,108,308,63,107,106,804,128,29,23,403,209,118,81,44,73,76,96,230,36,108,63,57,290,10,37
325,78,222,296,157,7,621,51,90,20,159,617,16,25,86,41,115,5,323,26,28,15,13,416,9,44
88,62,70,61,4,20,319,93,1,45,96,11,1418,617,309,55,119,18,27,2,376,30,72,46,0,1
140,15,109,118,14,87,264,251,4,33,85,40,455,935,266,120,108,30,53,41,315,46,145,186,24,31
125,212,155,171,51,154,509,255,32,56,29,10,101,336,528,180,159,17,187,63,250,3,29,63,2,88
96,297,13,40,91,793,147,76,110,5,19,14,15,150,106,809,114,24,618,56,59,0,18,135,191,19
171,157,63,82,78,15,1038,143,8,105,71,17,68,144,202,66,712,21,281,23,111,25,44,175,5,90
98,198,79,157,65,159,641,114,20,4,172,62,135,123,218,81,102,339,469,30,35,0,27,353,10,99
112,301,57,69,134,103,624,57,28,46,70,44,2,20,169,110,137,83,773,79,79,12,0,247,28,356
5,53,34,57,59,496,276,54,153,38,44,34,15,211,148,241,39,21,77,512,148,291,38,394,489,53
50,82,303,142,20,135,398,209,23,71,257,43,158,355,368,56,119,11,25,50,786,124,34,91,117,38
86,56,77,12,9,413,367,50,52,27,164,13,16,82,124,116,118,3,106,62,331,694,256,272,309,5
236,50,145,20,15,287,250,155,20,4,134,13,463,442,88,166,73,16,4,38,120,77,623,133,186,2
131,41,31,119,145,67,621,44,103,35,170,176,25,115,38,52,153,117,367,81,93,54,44,676,134,303
57,30,19,3,8,375,461,59,32,31,48,22,9,66,165,158,248,0,169,192,397,491,96,246,507,41
47,178,34,81,343,47,354,27,23,61,73,80,0,25,134,32,168,74,536,143,23,2,0,349,13,823

