0.9479704797047971,0.8111837327523602,0.9603082851637765,0.8927698218651764,0.9863970588235295,0.9440242057488654,0.9579921680313279,0.9675599435825106,0.6805797101449276,0.8951820522250827
0.9274368231046931,0.7824868651488617,0.8947935368043088,0.8937062937062937,0.944718309859155,0.8946236559139785,0.964516129032258,0.9696113074204947,0.8476534296028881,0.8661921708185053
2569,21,2,4,4,4,11,0,148,7
1,2234,20,23,6,16,24,6,481,44
14,10,2492,173,1,0,5,8,59,23
5,7,49,2556,0,61,0,23,121,38
5,42,0,0,2683,0,56,10,12,32
41,19,11,11,2,2496,14,1,94,101
26,39,0,2,5,10,2691,0,16,1
1,10,3,12,3,15,0,2744,23,19
29,327,5,8,3,17,8,5,2348,20
19,45,13,74,13,25,0,39,148,2434

