0.9467966573816156,0.6088535754824064,0.892784206943499,0.798048251558688,0.7366107114308553,0.8084916864608076,0.5202818104184458,0.7569007263922518,0.9083181542197936,0.9664604363399544,0.5645015787099684,0.9711111111111111,0.9517113292650571,0.6281679942070963,0.6736969696969697,0.883893149960328,0.629926375054136,0.5535222353404171,0.6505981703026038,0.7776115681874844,0.8372151264713248,0.8977939123149958,0.9415105053946621,0.46305888767720826,0.945010183299389,0.7758152173913043
0.8615969581749049,0.7002610966057441,0.7127717391304348,0.7314285714285714,0.47994791666666664,0.7027096774193549,0.6305304010349289,0.4258855585831063,0.7925827814569536,0.7946452476572958,0.6774018944519621,0.8039421813403417,0.9058080808080808,0.8863346104725415,0.7381142098273572,0.8323785803237858,0.7430395913154534,0.7422163588390501,0.4943850267379679,0.7836683417085427,0.8223862238622386,0.8416230366492147,0.8819148936170212,0.8632782719186786,0.7083969465648855,0.7779291553133515
3399,73,0,1,2,0,19,19,0,3,54,2,31,56,5,3,43,104,10,7,29,2,0,80,2,1
0,2682,0,203,23,18,22,55,8,1,42,2,0,95,10,5,38,294,88,31,4,2,0,145,6,56
0,0,2623,2,98,2,291,1,0,0,213,16,0,47,159,0,35,4,33,22,66,2,0,66,0,0
3,207,2,2944,5,10,18,37,17,0,81,2,3,122,79,5,28,178,49,29,21,9,0,156,0,20
0,28,63,8,1843,28,322,6,3,0,238,10,0,67,0,0,122,91,102,53,10,0,0,627,0,219
0,161,13,17,25,2723,68,12,24,7,13,0,0,89,0,184,2,40,41,233,7,9,7,181,4,15
5,36,116,33,22,12,2437,22,31,0,58,10,5,82,108,17,420,160,84,23,29,9,9,136,1,0
26,94,4,156,1,33,218,1563,0,1,284,0,10,329,87,42,69,297,22,64,105,22,3,232,3,5
0,97,21,18,1,31,24,1,2992,47,8,3,0,4,41,46,24,20,68,11,0,0,0,263,31,24
1,64,0,18,0,16,17,11,103,2968,24,1,0,19,43,33,41,98,48,6,4,3,0,202,2,13
34,40,18,17,56,1,78,39,2,0,2503,0,3,65,6,0,9,263,16,4,65,7,0,468,0,1
26,24,17,5,74,0,131,3,13,0,108,3059,0,28,30,0,50,15,39,2,12,2,0,162,2,3
12,60,0,2,0,0,14,8,0,0,16,0,3587,110,2,2,6,55,0,5,34,6,41,0,0,0
0,54,0,45,0,2,19,31,0,0,43,0,9,3470,123,2,3,69,0,13,12,11,3,6,0,0
1,4,36,40,5,0,254,29,0,0,46,0,2,122,2779,3,105,118,1,51,18,15,62,73,0,1
0,36,0,19,11,234,76,6,10,2,6,0,0,57,21,3342,59,18,5,42,1,4,10,11,41,4
9,87,0,28,0,0,122,11,25,0,68,13,5,5,340,6,2909,25,72,1,0,0,1,61,16,111
0,191,2,45,24,0,38,53,0,1,200,1,0,182,58,1,52,2813,2,13,9,2,3,99,0,1
50,244,7,34,102,55,129,18,45,0,28,19,0,26,19,14,76,194,1849,51,6,0,1,492,0,281
0,30,1,6,79,120,91,20,14,0,113,0,0,38,7,6,10,21,50,3119,32,8,0,143,21,51
0,18,7,11,0,0,86,31,0,0,56,0,66,167,111,0,69,22,0,6,3343,36,5,31,0,0
0,35,1,1,6,21,50,43,0,0,15,0,1,145,25,11,7,45,0,51,54,3215,61,7,23,3
0,24,0,2,0,0,4,25,0,0,16,0,41,161,43,1,34,22,0,5,56,10,3316,0,0,0
0,27,1,18,51,1,69,5,3,1,181,3,0,3,22,1,43,25,21,7,30,3,0,3397,10,13
0,66,0,9,0,56,21,14,0,4,8,0,6,26,4,56,313,9,21,158,46,204,0,122,2784,3
24,23,6,7,74,5,66,2,4,36,12,9,0,9,3,1,51,82,221,4,0,0,0,176,0,2855

