accuracy,error,tests,input,hidden layer,hidden neurons,eta,momentum,alpha,range,density,logistic alpha
-0.5258768089274182,15.42192672753027,103680,4,0,0,0.01,true,0.1,0.5,20000,1
-0.51723057746434,15.405315705191882,103680,4,0,0,0.01,true,0.1,0.5,20000,0.51
-0.5077979194280242,15.42432135785417,103680,4,0,0,0.01,true,0.1,0.5,20000,0.020000000000000018
-0.5480919118836458,15.493132782937181,103680,4,0,0,0.01,false,0.1,0.5,20000,1
-0.48986978588513347,15.42370616369926,103680,4,0,0,0.01,false,0.1,0.5,20000,0.51
-0.5300370466327452,15.445298989204183,103680,4,0,0,0.01,false,0.1,0.5,20000,0.020000000000000018
-0.023189206046692685,19.338069534587923,103680,4,1,10,0.01,true,0.1,0.5,20000,1
0.06738050600418961,13.857537682568882,103680,4,1,10,0.01,true,0.1,0.5,20000,0.51
-0.11739842956744596,17.694418333884553,103680,4,1,10,0.01,true,0.1,0.5,20000,0.020000000000000018
0.08998923315572888,18.887150877096214,103680,4,1,10,0.01,false,0.1,0.5,20000,1
0.00941962573640727,13.669393087054699,103680,4,1,10,0.01,false,0.1,0.5,20000,0.51
-0.1185168033461155,17.592645824459147,103680,4,1,10,0.01,false,0.1,0.5,20000,0.020000000000000018
0.12885516836023223,14.426881570122811,103680,4,2,10,0.01,true,0.1,0.5,20000,1
0.21598863420187878,14.841823946959034,103680,4,2,10,0.01,true,0.1,0.5,20000,0.51
-0.0529346062280298,17.92223248343489,103680,4,2,10,0.01,true,0.1,0.5,20000,0.020000000000000018
0.0780341334718597,16.144086756776584,103680,4,2,10,0.01,false,0.1,0.5,20000,1
0.18280499204106054,14.596859882541972,103680,4,2,10,0.01,false,0.1,0.5,20000,0.51
-0.07563351913986,17.760557292816205,103680,4,2,10,0.01,false,0.1,0.5,20000,0.020000000000000018
