O/E,Error,Tests,Inputs,Hidden Layers,Hidden Layer Neuron Count,Eta,Momentum,Alpha,Range,Density,Logistic Alpha
3.989461102868454,25.205139291783965,2515,2,0,0,0.2,false,0.25,0.75,350,0.01
3.942356431077851,23.61030302238687,2515,2,0,0,0.2,false,0.25,0.75,350,0.02
3.9280152423287085,23.698613225983458,2515,2,0,0,0.2,false,0.25,0.75,350,0.03
4.256496946269652,24.61893776535362,2515,2,0,0,0.2,false,0.25,0.75,350,0.04
4.42103447940262,24.076165273428657,2515,2,0,0,0.2,false,0.25,0.75,350,0.05
4.0233511547676075,24.788908023218966,2515,2,0,0,0.2,false,0.25,0.75,350,0.060000000000000005
3.9760003800032013,23.884407530204527,2515,2,0,0,0.2,false,0.25,0.75,350,0.07
4.242857854875889,24.916258388833715,2515,2,0,0,0.2,false,0.25,0.75,350,0.08
4.029994989589152,23.751346534400316,2515,2,0,0,0.2,false,0.25,0.75,350,0.09
3.9186003537918914,24.07391361250527,2515,2,0,0,0.2,false,0.25,0.75,350,0.09999999999999999
4.222824423799947,23.684833462412637,2515,2,0,0,0.2,false,0.25,0.75,350,0.10999999999999999
3.9542447999427575,24.603775930161607,2515,2,0,0,0.2,false,0.25,0.75,350,0.11999999999999998
4.0386460369447565,24.355357286728747,2515,2,0,0,0.2,false,0.25,0.75,350,0.12999999999999998
3.7735182670567826,25.254891912271304,2515,2,0,0,0.2,false,0.25,0.75,350,0.13999999999999999
4.372587739781669,25.184887432652108,2515,2,0,0,0.2,false,0.25,0.75,350,0.15
4.1530312411111865,24.43351360110847,2515,2,0,0,0.2,false,0.25,0.75,350,0.16
3.9766509413759663,23.865634580238623,2515,2,0,0,0.2,false,0.25,0.75,350,0.17
4.030358099561506,23.968627733567885,2515,2,0,0,0.2,false,0.25,0.75,350,0.18000000000000002
4.355449451570833,25.170388638707212,2515,2,0,0,0.2,false,0.25,0.75,350,0.19000000000000003
4.066599008704862,24.480208016637288,2515,2,0,0,0.2,false,0.25,0.75,350,0.20000000000000004
3.928149783956237,24.97555480097606,2515,2,0,0,0.2,false,0.25,0.75,350,0.21000000000000005
3.955309921077435,24.80356846796646,2515,2,0,0,0.2,false,0.25,0.75,350,0.22000000000000006
4.189437962542909,23.23149691566638,2515,2,0,0,0.2,false,0.25,0.75,350,0.23000000000000007
3.9128448734109322,24.239130979465504,2515,2,0,0,0.2,false,0.25,0.75,350,0.24000000000000007
4.235046706492505,25.06913276771897,2515,2,0,0,0.2,false,0.25,0.75,350,0.25000000000000006
3.9090583625808093,24.751567757352323,2515,2,0,0,0.2,false,0.25,0.75,350,0.26000000000000006
4.088563816621685,24.493491516065358,2515,2,0,0,0.2,false,0.25,0.75,350,0.2700000000000001
3.945786649884299,23.484003030767294,2515,2,0,0,0.2,false,0.25,0.75,350,0.2800000000000001
4.289417388444588,25.507869156015484,2515,2,0,0,0.2,false,0.25,0.75,350,0.2900000000000001
4.239477315109346,23.22760233332227,2515,2,0,0,0.2,false,0.25,0.75,350,0.3000000000000001
4.003402930681716,24.19549653031367,2515,2,0,0,0.2,false,0.25,0.75,350,0.3100000000000001
3.804260685691185,24.31296633674155,2515,2,0,0,0.2,false,0.25,0.75,350,0.3200000000000001
4.487584125735496,24.450940346116624,2515,2,0,0,0.2,false,0.25,0.75,350,0.3300000000000001
3.8146265270249198,23.664919313436577,2515,2,0,0,0.2,false,0.25,0.75,350,0.34000000000000014
4.161607483968472,24.262081659143867,2515,2,0,0,0.2,false,0.25,0.75,350,0.35000000000000014
4.104611944835773,24.744074463786912,2515,2,0,0,0.2,false,0.25,0.75,350,0.36000000000000015
4.128016187304647,24.73370125177063,2515,2,0,0,0.2,false,0.25,0.75,350,0.37000000000000016
3.7515575545699957,24.170445159565812,2515,2,0,0,0.2,false,0.25,0.75,350,0.38000000000000017
4.0853867293566895,23.31652591941231,2515,2,0,0,0.2,false,0.25,0.75,350,0.3900000000000002
4.201491145200796,24.954822270093015,2515,2,0,0,0.2,false,0.25,0.75,350,0.4000000000000002
4.266889435368298,24.886457639629427,2515,2,0,0,0.2,false,0.25,0.75,350,0.4100000000000002
4.306805895325266,24.38021905714271,2515,2,0,0,0.2,false,0.25,0.75,350,0.4200000000000002
4.033612681199226,24.33233754008283,2515,2,0,0,0.2,false,0.25,0.75,350,0.4300000000000002
4.014077939172392,25.01994666054075,2515,2,0,0,0.2,false,0.25,0.75,350,0.4400000000000002
4.3787630841205685,24.719439525273355,2515,2,0,0,0.2,false,0.25,0.75,350,0.45000000000000023
4.113675761111108,23.856398274306677,2515,2,0,0,0.2,false,0.25,0.75,350,0.46000000000000024
4.195767451059728,24.05632738541246,2515,2,0,0,0.2,false,0.25,0.75,350,0.47000000000000025
4.097469115394894,24.212720340358143,2515,2,0,0,0.2,false,0.25,0.75,350,0.48000000000000026
4.1687035447290315,24.86492628614484,2515,2,0,0,0.2,false,0.25,0.75,350,0.49000000000000027
4.044679223416997,23.837258353757683,2515,2,0,0,0.2,false,0.25,0.75,350,0.5000000000000002
4.191524141721001,23.82207191238091,2515,2,0,0,0.2,false,0.25,0.75,350,0.5100000000000002
4.238220330576104,25.302802425164767,2515,2,0,0,0.2,false,0.25,0.75,350,0.5200000000000002
4.336499752946382,24.317047961219693,2515,2,0,0,0.2,false,0.25,0.75,350,0.5300000000000002
3.803814002170228,24.081468367668997,2515,2,0,0,0.2,false,0.25,0.75,350,0.5400000000000003
3.8118158263281123,25.335917029748128,2515,2,0,0,0.2,false,0.25,0.75,350,0.5500000000000003
3.7399767038971174,23.965543539686372,2515,2,0,0,0.2,false,0.25,0.75,350,0.5600000000000003
4.1341084916167565,24.882653400711515,2515,2,0,0,0.2,false,0.25,0.75,350,0.5700000000000003
4.400785975778293,24.00062169032273,2515,2,0,0,0.2,false,0.25,0.75,350,0.5800000000000003
3.9875980541436102,24.138670791864936,2515,2,0,0,0.2,false,0.25,0.75,350,0.5900000000000003
4.069655169660407,24.947361613990182,2515,2,0,0,0.2,false,0.25,0.75,350,0.6000000000000003
4.054596487485008,24.20469200794389,2515,2,0,0,0.2,false,0.25,0.75,350,0.6100000000000003
4.45424421492402,23.977691462030442,2515,2,0,0,0.2,false,0.25,0.75,350,0.6200000000000003
4.010689721431064,23.52658192838026,2515,2,0,0,0.2,false,0.25,0.75,350,0.6300000000000003
4.021118033718591,23.978189996454493,2515,2,0,0,0.2,false,0.25,0.75,350,0.6400000000000003
4.141162216913425,25.00502294139377,2515,2,0,0,0.2,false,0.25,0.75,350,0.6500000000000004
3.9753325407473494,24.193791626961435,2515,2,0,0,0.2,false,0.25,0.75,350,0.6600000000000004
4.317061753935041,24.26180300591955,2515,2,0,0,0.2,false,0.25,0.75,350,0.6700000000000004
4.028012087402782,23.368031253938806,2515,2,0,0,0.2,false,0.25,0.75,350,0.6800000000000004
4.289927724198585,24.452460432714958,2515,2,0,0,0.2,false,0.25,0.75,350,0.6900000000000004
4.271964092118208,24.854418086590574,2515,2,0,0,0.2,false,0.25,0.75,350,0.7000000000000004
4.395984126182524,24.228560152264755,2515,2,0,0,0.2,false,0.25,0.75,350,0.7100000000000004
4.056837341648658,24.771821101983743,2515,2,0,0,0.2,false,0.25,0.75,350,0.7200000000000004
4.430567296326564,24.429964213647747,2515,2,0,0,0.2,false,0.25,0.75,350,0.7300000000000004
4.009386467834499,25.42779311796141,2515,2,0,0,0.2,false,0.25,0.75,350,0.7400000000000004
4.207371759717848,25.272004048333283,2515,2,0,0,0.2,false,0.25,0.75,350,0.7500000000000004
4.16969323153283,24.821101133934636,2515,2,0,0,0.2,false,0.25,0.75,350,0.7600000000000005
3.997885272782661,24.994890937292865,2515,2,0,0,0.2,false,0.25,0.75,350,0.7700000000000005
4.13985938963374,24.572961202113998,2515,2,0,0,0.2,false,0.25,0.75,350,0.7800000000000005
4.387751931313883,25.19825737821325,2515,2,0,0,0.2,false,0.25,0.75,350,0.7900000000000005
4.326726793521284,24.55011889061533,2515,2,0,0,0.2,false,0.25,0.75,350,0.8000000000000005
4.064797578793121,24.205757916218147,2515,2,0,0,0.2,false,0.25,0.75,350,0.8100000000000005
4.038047661735958,24.588516130225912,2515,2,0,0,0.2,false,0.25,0.75,350,0.8200000000000005
4.162294932401487,24.265100675781465,2515,2,0,0,0.2,false,0.25,0.75,350,0.8300000000000005
4.112740023064868,23.427673355949427,2515,2,0,0,0.2,false,0.25,0.75,350,0.8400000000000005
4.388421936668707,23.955983037215308,2515,2,0,0,0.2,false,0.25,0.75,350,0.8500000000000005
4.0227189232324445,23.723941874379868,2515,2,0,0,0.2,false,0.25,0.75,350,0.8600000000000005
4.004851445248772,23.947105390141836,2515,2,0,0,0.2,false,0.25,0.75,350,0.8700000000000006
4.210966388988619,24.825841592963197,2515,2,0,0,0.2,false,0.25,0.75,350,0.8800000000000006
4.2160867082261415,24.07270588788435,2515,2,0,0,0.2,false,0.25,0.75,350,0.8900000000000006
4.046515082653108,23.385453639196903,2515,2,0,0,0.2,false,0.25,0.75,350,0.9000000000000006
4.629701725519766,25.001988636781395,2515,2,0,0,0.2,false,0.25,0.75,350,0.9100000000000006
4.258177237687599,25.031704014512947,2515,2,0,0,0.2,false,0.25,0.75,350,0.9200000000000006
4.481158053140814,25.16834223931246,2515,2,0,0,0.2,false,0.25,0.75,350,0.9300000000000006
3.943405192646528,24.464830975718296,2515,2,0,0,0.2,false,0.25,0.75,350,0.9400000000000006
3.883261554211792,23.86124141915818,2515,2,0,0,0.2,false,0.25,0.75,350,0.9500000000000006
4.140178795063939,25.528468744010144,2515,2,0,0,0.2,false,0.25,0.75,350,0.9600000000000006
