accuracy,error,tests,input,hidden layer,hidden neurons,eta,momentum,alpha,range,density,logistic alpha
-1.0437529855865966,12.411090102079964,109760,3,0,0,0.01,true,0.1,0.5,20000,1
-1.0387089910575642,12.301184748886195,109760,3,0,0,0.01,true,0.1,0.5,20000,0.51
-0.9814792676304552,12.2043185465968,109760,3,0,0,0.01,true,0.1,0.5,20000,0.020000000000000018
-0.993004033330276,12.228554512742338,109760,3,0,0,0.01,false,0.1,0.5,20000,1
-1.0061551065351355,12.23702277148524,109760,3,0,0,0.01,false,0.1,0.5,20000,0.51
-0.9976518734824346,12.214661971239574,109760,3,0,0,0.01,false,0.1,0.5,20000,0.020000000000000018
0.11377805768893294,10.109006922207206,109760,3,1,10,0.01,true,0.1,0.5,20000,1
-0.20049376454434875,7.636357428559998,109760,3,1,10,0.01,true,0.1,0.5,20000,0.51
-0.23162892026044327,13.16855232956647,109760,3,1,10,0.01,true,0.1,0.5,20000,0.020000000000000018
0.15872313906694377,9.91299716930057,109760,3,1,10,0.01,false,0.1,0.5,20000,1
-0.28887362241556486,8.307209031428812,109760,3,1,10,0.01,false,0.1,0.5,20000,0.51
-0.2838257907413094,12.939224429921072,109760,3,1,10,0.01,false,0.1,0.5,20000,0.020000000000000018
0.1287017888928508,11.573902392278432,109760,3,2,10,0.01,true,0.1,0.5,20000,1
0.05750524980063491,10.83757380246622,109760,3,2,10,0.01,true,0.1,0.5,20000,0.51
-0.4123571019869466,12.633965500511586,109760,3,2,10,0.01,true,0.1,0.5,20000,0.020000000000000018
0.0071983892325552835,10.992437523540714,109760,3,2,10,0.01,false,0.1,0.5,20000,1
0.046934726379917954,10.716641114536374,109760,3,2,10,0.01,false,0.1,0.5,20000,0.51
-0.22412828633617451,13.181604832833958,109760,3,2,10,0.01,false,0.1,0.5,20000,0.020000000000000018
