0.1368421052631579,0.08823529411764706,0.23809523809523808,0.21739130434782608,0.22935779816513763,0.10526315789473684,0.1111111111111111,0.37012987012987014,0.1796875,0.25
0.19402985074626866,0.046153846153846156,0.10752688172043011,0.07142857142857142,0.390625,0.07142857142857142,0.056338028169014086,0.75,0.2875,0.17543859649122806
13,7,5,0,19,9,3,0,8,3
3,3,4,1,3,4,3,36,7,1
10,11,10,5,16,3,1,34,2,1
12,3,6,5,14,2,1,18,6,3
11,2,3,1,25,8,7,0,5,2
12,1,7,2,11,4,0,2,15,2
8,0,1,1,3,0,4,0,48,6
4,2,2,5,2,4,0,57,0,0
15,3,3,1,8,4,6,5,23,12
7,2,1,2,8,0,11,2,14,10
